inside_or_outside.Dentro CETRAM,inside_or_outside.Fuera CETRAM,gender.female,gender.male,age.0-17,age.18-24,age.25-44,age.45-64,age.65+,education.Licenciatura,education.Maestria y Doctorado,education.Preparatoria,education.Primaria,education.Secundaria,education.Sin estudios,origin.Alvaro Obregon,origin.Atenco,origin.Atizapan de Zaragoza,origin.Azcapotzalco,origin.Benito Juarez,origin.Chalco,origin.Chimalhuacï¿½ï¿½n,origin.Coacalco de Berriozal,origin.Coyoacan,origin.Cuajimalpa de Morelos,origin.Cuauhtemoc,origin.Cuauhtlmoc,origin.Cuautitlan,origin.Cuautitlan Izcalli,origin.Ecatepec de Morelos,origin.Gustavo A. Madero,origin.Iztacalco,origin.Iztapalapa,origin.Magdalena Contreras,origin.Miguel Hidalgo,origin.Naucalpan de Juarez,origin.Nextlalplan,origin.Nezahualcoyotl,origin.Nicolas Romero,origin.Otro,origin.Tecamec,origin.Texcoco,origin.Tlalnepantla de Baz,origin.Tultitlan,origin.Venustiano Carranza,origin.Zumpango,destination.Alvaro Obregon,destination.Atenco,destination.Atizapan de Zaragoza,destination.Azcapotzalco,destination.Benito Juarez,destination.Chalco,destination.Chimalhuacan,destination.Coacalco de Berriozal,destination.Cocotitlan,destination.Coyoacan,destination.Cuajimalpa de Morelos,destination.Cuauhtemoc,destination.Cuautitlan,destination.Cuautitlan Izcalli,destination.Ecatepec de Morelos,destination.Gustavo A. Madero,destination.Iztapalapa,destination.Miguel Hidalgo,destination.Naucalpan de Juarez,destination.Nezahualcoyotl,destination.Nicolas Romero,destination.Otro,destination.Tecamec,destination.Temamatla,destination.Tiahuac,destination.Tizayuca,destination.Tlalnepantla de Baz,destination.Tlalpan,destination.Tultitlan,destination.Venustiano Carranza,companions.1 to 2,companions.3 to 4,companions.Mas,companions.None,trip_purpose.Compra,trip_purpose.Estudio,trip_purpose.Otro,trip_purpose.Recreacion,trip_purpose.Trabajo,mode_security,importance_safety,most_safe.BRT,most_safe.Metro,most_safe.Peseros,most_safe.Taxi,most_safe.Trolebus,least_safe.BRT,least_safe.Metro,least_safe.Peseros,least_safe.Taxi,least_safe.Trolebus,bus_or_ped.Bus,bus_or_ped.Van,base_study_zone.Azteca,base_study_zone.El Rosario,busdestination.El Rosario,busdestination.Heroes Tecamec,busdestination.Mexico Nueva,busdestination.Mexipuerto,busdestination.Tacuba,busdestination.Texcoco,total_seats.15,total_seats.35,haversine,urban_typology.0,urban_typology.1,urban_typology.2,urban_typology.3,urban_typology.4,urban_typology.5,urban_typology.6,urban_typology.7,urban_typology.9,total_passenger_count,total_female_count,empty_seats,hour_sin,hour_cos,week_day.1,week_day.2,week_day.3,week_day.4,week_day.5,week_day.6,week_day.7,point_security
1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.364839319471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.366666666667,0.5,0.117647058824,-0.707106781187,-0.707106781187,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.8,0.8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.672967863894,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0666666666667,0.142857142857,0.382352941176,-0.5,-0.866025403784,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0
0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6,0.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.681474480151,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.2,0.214285714286,0.705882352941,-0.965925826289,-0.258819045103,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0
0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.4,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.866729678639,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.258819045103,-0.965925826289,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0
0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.8,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.174858223062,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.965925826289,-0.258819045103,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.4,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.724952741021,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.5,-0.866025403784,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.6,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.286389413989,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.366666666667,0.428571428571,0.117647058824,-0.866025403784,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.6,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.617202268431,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.666666666667,0.5,0.588235294118,1.22464679915e-16,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.789224952741,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.428571428571,0.176470588235,-0.5,-0.866025403784,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.6,0.8,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.895085066163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1,0.214285714286,0.352941176471,-0.258819045103,-0.965925826289,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0
